geometry,address
POINT (37.6726492 55.7878319),"Старослободская улица, Сокольники, Москва, район Сокольники, Москва, Центральный федеральный округ, 107113, Россия"
POINT (37.5621788 55.7232255),"улица Савельева, Квартал №532, район Хамовники, Москва, Центральный федеральный округ, 119048, Россия"
POINT (37.5510587 55.5092512),"Староникольская улица, район Южное Бутово, Москва, Центральный федеральный округ, 117623, Россия"
POINT (37.6200124 55.7374767),"Старомонетный переулок, район Якиманка, Москва, Центральный федеральный округ, 115184, Россия"
POINT (37.612027 55.8039573),"Старомарьинское шоссе, район Марьина Роща, Москва, Центральный федеральный округ, 127521, Россия"
POINT (37.6024289 55.7442428),"Соймоновский проезд, 32, район Хамовники, Москва, Центральный федеральный округ, 119034, Россия"
POINT (37.5256598 55.8608389),"Солнечногорский проезд, Головинский район, Москва, Центральный федеральный округ, 125413, Россия"
POINT (37.6760101 55.8666237),"улица Рудневой, Бабушкинский район, Москва, Центральный федеральный округ, 129327, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.8008238 55.7071072),"Сормовский проезд, Выхино, район Выхино-Жулебино, Москва, Центральный федеральный округ, 109444, Россия"
POINT (37.6034015 55.7960325),"Стрелецкая улица, район Марьина Роща, Москва, Центральный федеральный округ, 127018, Россия"
POINT (37.4636565 55.8192784),"Сосновая аллея, район Покровское-Стрешнево, Москва, Центральный федеральный округ, 125367, Россия"
POINT (37.8189238 55.7489732),"Союзный проспект, район Новогиреево, Москва, Центральный федеральный округ, 111396, Россия"
POINT (37.5757681 55.5785357),"Старобитцевская улица, район Северное Бутово, Москва, Центральный федеральный округ, 117628, Россия"
POINT (37.6785519 55.7750486),"Спартаковский переулок, Басманный район, Москва, Центральный федеральный округ, 105082, Россия"
POINT (37.5757681 55.5785357),"Старобитцевская улица, район Северное Бутово, Москва, Центральный федеральный округ, 117628, Россия"
POINT (37.752945 55.6835227),"Спортивный проезд, район Люблино, Москва, Центральный федеральный округ, 109386, Россия"
POINT (37.5789727 55.7726061),"Средний Кондратьевский переулок, Пресненский район, Москва, Центральный федеральный округ, 123056, Россия"
POINT (37.6302231 55.7449482),"Средний Овчинниковский переулок, район Замоскворечье, Москва, Центральный федеральный округ, 115184, Россия"
POINT (37.7015136 55.7327202),"Средняя Калитниковская улица, Нижегородский район, Москва, Центральный федеральный округ, 109029, Россия"
POINT (37.6375305 55.8100445),"Староалексеевская улица, Алексеевский район, Москва, Центральный федеральный округ, 129085, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6336016 55.771264),"Сретенский тупик, Красносельский район, Москва, Центральный федеральный округ, 107045, Россия"
POINT (37.7220541 55.8784497),"улица Ротерта, Ярославский район, Москва, Центральный федеральный округ, 129347, Россия"
POINT (37.6124554 55.7460651),"Софийская набережная, район Якиманка, Москва, Центральный федеральный округ, 119072, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5401577 55.7627755),"Стрельбищенский переулок, Пресненский район, Москва, Центральный федеральный округ, 123317, Россия"
POINT (37.6744326 55.7337309),"Стройковская улица, Таганский район, Москва, Центральный федеральный округ, 109316, Россия"
POINT (37.5326603 55.6065674),"Тарусская улица, район Ясенево, Москва, Центральный федеральный округ, 117588, Россия"
POINT (37.6237101 55.7738449),"Садовая-Сухаревская улица, Мещанский район, Москва, Центральный федеральный округ, 127051, Россия"
POINT (37.6792312 55.7521991),"Таможенный проезд, район Лефортово, Москва, Центральный федеральный округ, 111033, Россия"
POINT (37.6318726 55.7431825),"Садовнический проезд, район Замоскворечье, Москва, Центральный федеральный округ, 115035, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6374673 55.7592957),"Сверчков переулок, Ивановская горка, Басманный район, Москва, Центральный федеральный округ, 101000, Россия"
POINT (37.7550035 55.6808848),"Таганрогская улица, район Люблино, Москва, Центральный федеральный округ, 109386, Россия"
POINT (37.4662878 55.7739992),"улица Саляма Адиля, район Хорошёво-Мнёвники, Москва, Центральный федеральный округ, 123154, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.7043615 55.7363212),"улица Рогожский Посёлок, Нижегородский район, Москва, Центральный федеральный округ, 109052, Россия"
POINT (37.6735535 55.8928663),"Северодвинская улица, район Северное Медведково, Москва, Центральный федеральный округ, 127224, Россия"
POINT (37.6207232 55.6214482),"Сумская улица, район Чертаново Центральное, Москва, Центральный федеральный округ, 117587, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6683566 55.7085384),"улица Сайкина, Южнопортовый район, Москва, Центральный федеральный округ, 115193, Россия"
POINT (37.5953766 55.7411935),"Сеченовский переулок, 33, район Хамовники, Москва, Центральный федеральный округ, 119034, Россия"
POINT (37.6834888 55.732878),"Сибирский проезд, Таганский район, Москва, Центральный федеральный округ, 109029, Россия"
POINT (37.605799 55.6597644),"Сивашская улица, район Зюзино, Москва, Центральный федеральный округ, 117638, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.6140461 55.6637581),"Симферопольский проезд, Нагорный район, Москва, Центральный федеральный округ, 117638, Россия"
POINT (37.5754657 55.5463824),"Синельниковская улица, район Южное Бутово, Москва, Центральный федеральный округ, 117623, Россия"
POINT (37.5940262 55.7561366),"Скатертный переулок, 47, Пресненский район, Москва, Центральный федеральный округ, 121069, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.6947391 55.7923174),"Стромынский переулок, Сокольники, Москва, район Сокольники, Москва, Центральный федеральный округ, 107076, Россия"
POINT (37.6415193 55.7732507),"Скорняжный переулок, Красносельский район, Москва, Центральный федеральный округ, 107078, Россия"
POINT (37.5453585 55.6094212),"улица Рокотова, район Ясенево, Москва, Центральный федеральный округ, 117593, Россия"
POINT (37.5594062 55.7952544),"Мирской переулок, район Аэропорт, Москва, Центральный федеральный округ, 127083, Россия"
POINT (37.8498499 55.6975938),"Хвалынский бульвар, Жулебино, район Выхино-Жулебино, Москва, Центральный федеральный округ, 109153, Россия"
POINT (37.6756524 55.7709717),"Плетешковский переулок, Басманный район, Москва, Центральный федеральный округ, 105005, Россия"
POINT (37.4396688 55.846231),"Нелидовская улица, район Южное Тушино, Москва, Центральный федеральный округ, 125363, Россия"
POINT (37.3926533 55.813138),"Неманский проезд, район Строгино, Мякинино, Москва, Центральный федеральный округ, 123592, Россия"
POINT (37.5843723 55.7305241),"Несвижский переулок, 540, район Хамовники, Москва, Центральный федеральный округ, 119034, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.7066297 55.7837713),"Нижний Журавлёв переулок, район Преображенское, Москва, Центральный федеральный округ, 107023, Россия"
POINT (37.6221159 55.7651854),"Нижний Кисельный переулок, Мещанский район, Москва, Центральный федеральный округ, 107031, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6104342 55.7571576),"Никитский переулок, 18, 57, Тверской район, Москва, Центральный федеральный округ, 125009, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5392496 55.8834866),"Яхромская улица, 18-й микрорайон Дегунина, Дмитровский, Москва, Дмитровский район, Москва, Центральный федеральный округ, 127411, Россия"
POINT (37.645707 55.751092),"Яузский бульвар, Таганский район, Москва, Центральный федеральный округ, 109028, Россия"
POINT (37.5347476 55.6058019),"Ясногорская улица, район Ясенево, Москва, Центральный федеральный округ, 117588, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.5355832 55.7594082),"улица Подвойского, Камушки, Пресненский район, Москва, Центральный федеральный округ, 123317, Россия"
POINT (37.684759 55.8697028),"Янтарный проезд, Лосиноостровский район, Москва, Центральный федеральный округ, 129346, Россия"
POINT (37.6116116 55.6526158),"Ялтинская улица, Нагорный район, Москва, Центральный федеральный округ, 117452, Россия"
POINT (37.6110485 55.7330921),"Якиманский переулок, район Якиманка, Москва, Центральный федеральный округ, 119049, Россия"
POINT (37.3574521 55.7918436),"Новолучанская улица, Рублёво, район Кунцево, Москва, Центральный федеральный округ, 143405, Россия"
POINT (37.6267496 55.8655933),"Юрловский проезд, район Отрадное, Москва, Центральный федеральный округ, 127081, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6810444 55.7227358),"Новоостаповская улица, Южнопортовый район, Москва, Центральный федеральный округ, 115088, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.5900793 55.8531026),"Нововладыкинский проезд, район Отрадное, Москва, Центральный федеральный округ, 127106, Россия"
POINT (37.6527209 55.7624471),"улица Покровка, Ивановская горка, Басманный район, Москва, Центральный федеральный округ, 105062, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5470137 55.6566505),"Научный проезд, район Черёмушки, Москва, Центральный федеральный округ, 117246, Россия"
POINT (37.5942436 55.7769722),"Миусская площадь, Тверской район, Москва, Центральный федеральный округ, 125047, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6692423 55.5762017),"Михневский проезд, район Бирюлёво Восточное, Москва, Центральный федеральный округ, 115547, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5610835 55.7979352),"Мишина улица, Савёловский район, Москва, Центральный федеральный округ, 127083, Россия"
POINT (37.5993051 55.7743703),"улица Фадеева, Тверской район, Москва, Центральный федеральный округ, 125047, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.8481627 55.7445005),"Молодёжная улица, район Новокосино, Москва, городской округ Реутов, Москва, Центральный федеральный округ, 143965, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.7030477 55.7844716),"площадь Журавлёва, район Преображенское, Москва, Центральный федеральный округ, 107023, Россия"
POINT (37.6658846 55.7570681),"Мрузовский переулок, Басманный район, Москва, Центральный федеральный округ, 105120, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5789817 55.7299243),"переулок Хользунова, 540, район Хамовники, Москва, Центральный федеральный округ, 119882, Россия"
POINT (37.5752932 55.7853312),"переулок Расковой, район Беговой, Москва, Центральный федеральный округ, 125040, Россия"
POINT (37.656519 55.7375782),"переулок Маяковского, Таганский район, Москва, Центральный федеральный округ, 109147, Россия"
POINT (37.5857296 55.7683168),"переулок Красина, Пресненский район, Москва, Центральный федеральный округ, 123056, Россия"
POINT (37.6268869 55.776441),"переулок Васнецова, Мещанский район, Москва, Центральный федеральный округ, 129090, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.5922672 55.6747401),"Нагорный бульвар, район Котловка, Москва, Центральный федеральный округ, 117186, Россия"
POINT (37.631164 55.7882513),"Напрудный переулок, Мещанский район, Москва, Центральный федеральный округ, 129110, Россия"
POINT (37.5025868 55.8435514),"Нарвская улица, Головинский район, Москва, Центральный федеральный округ, 125499, Россия"
POINT (37.3908815 55.6566795),"Наро-Фоминская улица, район Солнцево, Москва, Центральный федеральный округ, 119619, Россия"
POINT (37.7475312 55.7872061),"Народный проспект, район Измайлово, Москва, Центральный федеральный округ, 105187, Россия"
POINT (37.7453621 55.7643436),"улица Уткина, район Соколиная Гора, Москва, Центральный федеральный округ, 105275, Россия"
POINT (37.5995005 55.7375846),"Хилков переулок, район Хамовники, Москва, Центральный федеральный округ, 119034, Россия"
POINT (37.5742209 55.7661436),"Новопресненский переулок, Пресненский район, Москва, Центральный федеральный округ, 123557, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.61638077919738 55.6451658),"Черноморский бульвар, Нагорный район, Москва, Центральный федеральный округ, Россия"
POINT (37.7854836 55.8202465),"Черницынский проезд, Черницыно, район Гольяново, Москва, Центральный федеральный округ, 107241, Россия"
POINT (37.8096802 55.6758533),"улица Степана Шутова, район Выхино-Жулебино, Москва, Центральный федеральный округ, 109380, Россия"
POINT (37.6258631 55.7444167),"Черниговский переулок, район Замоскворечье, Москва, Центральный федеральный округ, 115035, Россия"
POINT (37.6089538 55.8549348),"Отрадный проезд, район Отрадное, Москва, Центральный федеральный округ, 127273, Россия"
POINT (37.63566 55.8889938),"Чермянский проезд, район Северное Медведково, Москва, Центральный федеральный округ, 127282, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6317741 55.8850023),"Чермянская улица, район Южное Медведково, Москва, Центральный федеральный округ, 127282, Россия"
POINT (37.7047325 55.8818961),"Челюскинская улица, Лосиноостровский район, Москва, Центральный федеральный округ, 129336, Россия"
POINT (37.4530995 55.8474862),"Парусный проезд, район Южное Тушино, Москва, Центральный федеральный округ, 125364, Россия"
POINT (37.6681371 55.5958482),"Педагогическая улица, Бирюлёво, район Бирюлёво Восточное, Москва, Центральный федеральный округ, 115404, Россия"
POINT (37.3566752 55.8325416),"Пенягинская улица, район Митино, Москва, Центральный федеральный округ, 125430, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6445029 55.7569744),"Хохловский переулок, Ивановская горка, Басманный район, Москва, Центральный федеральный округ, 109028, Россия"
POINT (37.7039441 55.7439215),"Перовский проезд, район Лефортово, Москва, Центральный федеральный округ, 111024, Россия"
POINT (37.6599138 55.7462767),"Пестовский переулок, Таганский район, Москва, Центральный федеральный округ, 109004, Россия"
POINT (37.5169434 55.8039069),"Песчаная улица, район Сокол, Москва, Центральный федеральный округ, 125057, Россия"
POINT (37.5103876 55.7990337),"Песчаный переулок, посёлок Сокол, район Сокол, Москва, Центральный федеральный округ, 125252, Россия"
POINT (37.6368464 55.757338),"Петроверигский переулок, Ивановская горка, Басманный район, Москва, Центральный федеральный округ, 101000, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6024982 55.7574716),"Хлыновский тупик, 53, Пресненский район, Москва, Центральный федеральный округ, 125009, Россия"
POINT (37.5702055 55.7905183),"Петровско-Разумовская аллея, район Аэропорт, Москва, Центральный федеральный округ, 127083, Россия"
POINT (37.5943947 55.7554116),"Хлебный переулок, 36, район Арбат, Москва, Центральный федеральный округ, 121069, Россия"
POINT (37.644361 55.7534049),"Хитровский переулок, Ивановская горка, Басманный район, Москва, Центральный федеральный округ, 109028, Россия"
POINT (37.6651415 55.8642365),"Печорская улица, Бабушкинский район, Москва, Центральный федеральный округ, 129344, Россия"
POINT (37.554403 55.7444193),"Платовская улица, район Дорогомилово, Москва, Центральный федеральный округ, 121151, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.3619831 55.7874973),"Новорублёвская улица, Рублёво, район Кунцево, Москва, Центральный федеральный округ, 121500, Россия"
POINT (37.5370257 55.5342355),"Чечёрский проезд, район Южное Бутово, Москва, Центральный федеральный округ, 117041, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.8207577 55.81476),"Новосибирская улица, район Гольяново, Москва, Центральный федеральный округ, 107589, Россия"
POINT (37.576229 55.7717114),"Электрический переулок, Пресненский район, Москва, Центральный федеральный округ, 123557, Россия"
POINT (37.4971691 55.7782452),"Новохорошёвский проезд, район Хорошёво-Мнёвники, Москва, Центральный федеральный округ, 123308, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.7784132 55.806367),"Щёлковский проезд, район Северное Измайлово, Москва, Центральный федеральный округ, 105425, Россия"
POINT (37.5317248 55.7794666),"улица Полины Осипенко, Хорошёвский район, Москва, Центральный федеральный округ, 123007, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6956098 55.876327),"Норильская улица, Лосиноостровский район, Москва, Центральный федеральный округ, 129346, Россия"
POINT (37.5784767 55.7464711),"Шубинский переулок, район Арбат, Москва, Центральный федеральный округ, 121099, Россия"
POINT (37.446785 55.84575),"Штурвальная улица, район Южное Тушино, Москва, Центральный федеральный округ, 125364, Россия"
POINT (37.5713491 55.5799077),"улица Поляны, район Северное Бутово, Москва, Центральный федеральный округ, 117042, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6500153 55.8667644),"Чукотский проезд, Бабушкинский район, Москва, Центральный федеральный округ, 127642, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.7026334 55.7463966),"Шепелюгинская улица, Квартал Свобода, район Лефортово, Москва, Центральный федеральный округ, 111024, Россия"
POINT (37.6592399 55.8729486),"Олонецкий проезд, Бабушкинский район, Москва, Центральный федеральный округ, 129282, Россия"
POINT (37.4529283 55.6817548),"улица Пржевальского, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119361, Россия"
POINT (37.8645172 55.7123234),"Оренбургская улица, район Косино-Ухтомский, Москва, Центральный федеральный округ, 111621, Россия"
POINT (37.7484368 55.7314107),"Орехово-Зуевский проезд, Карачарово, Нижегородский район, Москва, Центральный федеральный округ, 130203, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5577309 55.8064584),"Чуксин тупик, Тимирязевский район, Москва, Центральный федеральный округ, 127206, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.6808888 55.7475459),"Гжельский переулок, Таганский район, Москва, Центральный федеральный округ, 105120, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5783915 55.8830363),"Стандартная улица, Алтуфьевский район, Москва, Центральный федеральный округ, 127410, Россия"
POINT (37.7083144 55.7839799),"Барабанный переулок, район Соколиная Гора, Москва, Центральный федеральный округ, 107023, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.612315 55.7825885),"улица Достоевского, Тверской район, Москва, Центральный федеральный округ, 127473, Россия"
POINT (37.7418217 55.7385508),"Басовская улица, Карачарово, Нижегородский район, Москва, Центральный федеральный округ, 109202, Россия"
POINT (37.6527379 55.8389826),"улица Докукина, Ростокино, Москва, район Ростокино, Москва, Центральный федеральный округ, 127490, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.608204 55.7770783),"2-й Щемиловский переулок, Тверской район, Москва, Центральный федеральный округ, 127473, Россия"
POINT (37.5772631 55.8054608),"2-й Хуторской переулок, Савёловский район, Москва, Центральный федеральный округ, 127287, Россия"
POINT (37.6327618 55.7867481),"Банный проезд, Мещанский район, Москва, Центральный федеральный округ, 129110, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6065861 55.7976076),"2-й Стрелецкий проезд, район Марьина Роща, Москва, Центральный федеральный округ, 127018, Россия"
POINT (37.7115758 55.7888734),"улица Девятая Рота, район Преображенское, Москва, Центральный федеральный округ, 107023, Россия"
POINT (37.5358367 55.7308636),"2-й Сетуньский проезд, Сетунь, район Раменки, Москва, Центральный федеральный округ, 119136, Россия"
POINT (86.030069 55.3552008),"Тушинская улица, Заводский район, Кемерово, Кемеровский городской округ, Кемеровская область, Сибирский федеральный округ, 650021, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6493907 55.749223),"Берниковская набережная, Таганский район, Москва, Центральный федеральный округ, 109240, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6438558 55.8332716),"2-й Сельскохозяйственный проезд, Ростокино, Москва, район Ростокино, Москва, Центральный федеральный округ, 129226, Россия"
POINT (37.4866006 55.7709023),"улица Демьяна Бедного, район Хорошёво-Мнёвники, Москва, Центральный федеральный округ, 123308, Россия"
POINT (37.5121568 55.8069937),"Балтийская улица, район Аэропорт, Москва, Центральный федеральный округ, 125493, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.4065913 55.7237495),"улица Кубинка, Сетунь, Можайский, Москва, Можайский район, Москва, Центральный федеральный округ, 121451, Россия"
POINT (37.7785872 55.7956393),"2-я Прядильная улица, район Измайлово, Москва, Центральный федеральный округ, 105037, Россия"
POINT (37.6395087 55.7629643),"Архангельский переулок, Ивановская горка, Басманный район, Москва, Центральный федеральный округ, 101000, Россия"
POINT (37.5621591 55.8122052),"Астрадамский проезд, Тимирязевский район, Москва, Центральный федеральный округ, 127206, Россия"
POINT (37.6336867 55.7677152),"Ащеулов переулок, Красносельский район, Москва, Центральный федеральный округ, 107045, Россия"
POINT (37.6842554 55.8745434),"2-я Напрудная улица, Лосиноостровский район, Москва, Центральный федеральный округ, 129345, Россия"
POINT (37.5827506 55.7954613),"2-я Квесисская улица, Савёловский район, Москва, Центральный федеральный округ, 127015, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6892102 55.7901581),"Бабаевская улица, Сокольники, Москва, район Сокольники, Москва, Центральный федеральный округ, 107014, Россия"
POINT (37.4157435 55.7210833),"улица Кутузова, Можайский, Москва, Можайский район, Москва, Центральный федеральный округ, 121354, Россия"
POINT (37.7207958 55.6860136),"улица Кухмистерова, район Печатники, Москва, Центральный федеральный округ, 109389, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6714062 55.7279493),"2-я Дубровская улица, Таганский район, Москва, Центральный федеральный округ, 109044, Россия"
POINT (37.259988 55.615068),"Базовая улица, Внуково, район Внуково, Москва, Центральный федеральный округ, 111674, Россия"
POINT (37.7029126 55.8121979),"2-я Гражданская улица, Богородское, район Богородское, Москва, Центральный федеральный округ, 107564, Россия"
POINT (37.5637889 55.8197467),"улица Дубки, Тимирязевский район, Москва, Центральный федеральный округ, 127562, Россия"
POINT (37.710956 55.7553629),"улица Лапина, Квартал Свобода, Дангауэровка, район Лефортово, Москва, Центральный федеральный округ, 111116, Россия"
POINT (30.7392685 47.7170267),"Шкільна вулиця, Захарівка, Врадіївська селищна громада, Первомайський район, Миколаївська область, 56331, Україна"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6038829 55.7062534),"2-й Рощинский проезд, Донской район, Москва, Центральный федеральный округ, 115419, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.557024 55.8635568),"Бескудниковский переулок, Бескудниковский район, Москва, Центральный федеральный округ, 127474, Россия"
POINT (37.6805245 55.7920784),"2-й Полевой переулок, Сокольники, Москва, район Сокольники, Москва, Центральный федеральный округ, 101113, Россия"
POINT (37.6230042 55.7438826),"2-й Кадашёвский переулок, район Якиманка, Москва, Центральный федеральный округ, 115035, Россия"
POINT (37.3023304 55.6075716),"Большая Внуковская улица, Внуково, район Внуково, Москва, Центральный федеральный округ, 111674, Россия"
POINT (37.7142279 55.749358),"2-й Кабельный проезд, Дангауэровка, район Лефортово, Москва, Центральный федеральный округ, 111024, Россия"
POINT (37.7697888 55.8170049),"2-й Иртышский проезд, район Гольяново, Москва, Центральный федеральный округ, 105425, Россия"
POINT (37.6079561 55.791239),"2-й Вышеславцев переулок, район Марьина Роща, Москва, Центральный федеральный округ, 127018, Россия"
POINT (37.5682883 55.7555854),"улица Николаева, Пресненский район, Москва, Центральный федеральный округ, 123100, Россия"
POINT (37.4657818 55.7977866),"улица Гамалеи, Октябрьское Поле, район Щукино, Москва, Центральный федеральный округ, 123098, Россия"
POINT (37.6530908 55.7432664),"улица Высоцкого, Таганский район, Москва, Центральный федеральный округ, 109240, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.6041404 55.7092846),"2-й Верхний Михайловский проезд, Донской район, Москва, Центральный федеральный округ, 115419, Россия"
POINT (37.5577582 55.7799778),"2-й Боткинский проезд, район Беговой, Москва, Центральный федеральный округ, 125284, Россия"
POINT (37.5239811 55.8082544),"2-й Балтийский переулок, район Аэропорт, Москва, Центральный федеральный округ, 125315, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6093631 55.8093758),"17-й проезд Марьиной Рощи, Бутырский район, Москва, Центральный федеральный округ, 127521, Россия"
POINT (37.9266286 55.6982348),"улица Льва Яшина, Некрасовка, Москва, район Некрасовка, городской округ Люберцы, Москва, Центральный федеральный округ, 100332, Россия"
POINT (37.8148617 55.791256),"14-я Парковая улица, район Восточное Измайлово, Москва, Центральный федеральный округ, 105203, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.7525422 55.6749732),"Армавирская улица, район Люблино, Москва, Центральный федеральный округ, 109382, Россия"
POINT (37.5162671 55.7370255),"улица Генерала Ермолова, район Дорогомилово, Москва, Центральный федеральный округ, 119296, Россия"
POINT (37.6134124 55.7692859),"2-й Колобовский переулок, Тверской район, Москва, Центральный федеральный округ, 127051, Россия"
POINT (37.5527057 55.8763742),"Бескудниковский проезд, Бескудниковский район, Москва, Центральный федеральный округ, 127474, Россия"
POINT (37.5897579 55.8156203),"улица Гончарова, Бутырский район, Москва, Центральный федеральный округ, 127254, Россия"
POINT (37.6704628 55.7444017),"Библиотечная улица, Таганский район, Москва, Центральный федеральный округ, 109544, Россия"
POINT (37.6981898 55.7563636),"улица Лефортовский Вал, Квартал Свобода, район Лефортово, Москва, Центральный федеральный округ, 111250, Россия"
POINT (37.6048621 55.7416508),"2-й Обыденский переулок, 32, район Хамовники, Москва, Центральный федеральный округ, 119034, Россия"
POINT (37.5107774 55.8156337),"2-й Новоподмосковный переулок, Войковский район, Москва, Центральный федеральный округ, 125493, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6307237 55.7340354),"2-й Новокузнецкий переулок, район Замоскворечье, Москва, Центральный федеральный округ, 115184, Россия"
POINT (37.6656946 55.5868759),"Бирюлёвская улица, Бирюлёво, район Бирюлёво Восточное, Москва, Центральный федеральный округ, 115372, Россия"
POINT (37.5824884 55.7399302),"2-й Неопалимовский переулок, 540, район Хамовники, Москва, Центральный федеральный округ, 119121, Россия"
POINT (37.5732532 55.8373282),"улица Линии Октябрьской Железной Дороги, Тимирязевский район, Москва, Центральный федеральный округ, 127238, Россия"
POINT (37.5225711 55.7671122),"2-й Магистральный тупик, Хорошёвский район, Москва, Центральный федеральный округ, 123007, Россия"
POINT (37.6234994 55.7561957),"Богоявленский переулок, 4, Китай-город, Тверской район, Москва, Центральный федеральный округ, 109012, Россия"
POINT (37.6560402 55.8016855),"2-й Лучевой просек, Москва, район Сокольники, Москва, Центральный федеральный округ, 107014, Россия"
POINT (37.6995627 55.6521816),"2-й Курьяновский проезд, район Печатники, Москва, Центральный федеральный округ, 109235, Россия"
POINT (37.6635718 55.7820264),"2-й Красносельский переулок, Красносельский район, Москва, Центральный федеральный округ, 107140, Россия"
POINT (37.6172646 55.7809959),"Суворовская площадь, Мещанский район, Москва, Центральный федеральный округ, 127473, Россия"
POINT (37.6339014 55.7861407),"Больничный переулок, Мещанский район, Москва, Центральный федеральный округ, 129110, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.6078741 55.8025471),"Анненский проезд, район Марьина Роща, Москва, Центральный федеральный округ, 127521, Россия"
POINT (37.610078 55.8046369),"Анненская улица, район Марьина Роща, Москва, Центральный федеральный округ, 127521, Россия"
POINT (37.6678894 55.7464105),"Андроньевская площадь, Таганский район, Москва, Центральный федеральный округ, 105120, Россия"
POINT (37.6510788 55.7424567),"5-й Котельнический переулок, Таганский район, Москва, Центральный федеральный округ, 115172, Россия"
POINT (37.6336077 55.7325894),"5-й Монетчиковский переулок, район Замоскворечье, Москва, Центральный федеральный округ, 115054, Россия"
POINT (37.6135392 55.7104973),"5-й Рощинский проезд, Даниловский район, Москва, Центральный федеральный округ, 115191, Россия"
POINT (37.6712882 55.6422917),"улица Кошкина, район Москворечье-Сабурово, Москва, Центральный федеральный округ, 115409, Россия"
POINT (37.9339457 55.7067545),"улица Недорубова, Люберецкие поля, Некрасовка, Москва, район Некрасовка, Москва, Центральный федеральный округ, 100332, Россия"
POINT (37.6141522 55.798404),"5-й проезд Марьиной Рощи, район Марьина Роща, Москва, Центральный федеральный округ, 129594, Россия"
